FID,Join_Count,TARGET_FID,OBJECTID,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,COUNTRY,LZCODE,LZNAMEE,CLASS,LZNUM,LZNAMEF
0,1,0,1.000000000000000,RW201400000001,RW,"2,014.000000000000000",1.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,24.000000000000000,Huye,CEN,R,-2.505926000000000,29.712786000000001,"9,999.000000000000000","1,776.000000000000000",WGS84,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
1,1,1,2.000000000000000,RW201400000002,RW,"2,014.000000000000000",2.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,53.000000000000000,Gatsibo,CEN,R,-1.844667000000000,30.310507999999999,"9,999.000000000000000","1,651.000000000000000",WGS84,RW,RW09,Eastern Plateau Mixed Agricultural,AN10,9,Plateau de l’est de cultures variées
2,1,2,3.000000000000000,RW201400000003,RW,"2,014.000000000000000",3.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,35.000000000000000,Ngororero,CEN,R,-1.841935000000000,29.574756000000001,"9,999.000000000000000","2,105.000000000000000",WGS84,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
3,1,3,4.000000000000000,RW201400000004,RW,"2,014.000000000000000",4.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,55.000000000000000,Kirehe,CEN,R,-2.348161000000000,30.463639000000001,"9,999.000000000000000","1,414.000000000000000",WGS84,RW,RW10,Southeastern Plateau Banana,AG08,10,Zone bananière du plateau du sud-est
4,1,4,5.000000000000000,RW201400000005,RW,"2,014.000000000000000",5.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,57.000000000000000,Bugesera,CEN,R,-2.211301000000000,30.161839000000001,"9,999.000000000000000","1,451.000000000000000",WGS84,RW,RW08,Bugesera Cassava,AG05,8,Zone du manioc de Bugesera
5,1,5,6.000000000000000,RW201400000006,RW,"2,014.000000000000000",6.000000000000000,RW,RW12,Kigali City,NULL,NULL,1.000000000000000,Kigali City,13.000000000000000,Kicukiro,CEN,U,-2.023810000000000,30.104405000000000,"9,999.000000000000000","1,520.000000000000000",WGS84,RW,RW08,Bugesera Cassava,AG05,8,Zone du manioc de Bugesera
6,1,6,7.000000000000000,RW201400000007,RW,"2,014.000000000000000",7.000000000000000,RW,RW13,Northern,NULL,NULL,4.000000000000000,North,42.000000000000000,Gakenke,CEN,R,-1.691705000000000,29.843228000000000,"9,999.000000000000000","1,815.000000000000000",WGS84,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
7,1,7,8.000000000000000,RW201400000008,RW,"2,014.000000000000000",8.000000000000000,RW,RW13,Northern,NULL,NULL,4.000000000000000,North,41.000000000000000,Rulindo,CEN,R,-1.799653000000000,30.042510000000000,"9,999.000000000000000","1,967.000000000000000",WGS84,RW,RW07,"Central-Northern Highland Irish Potato, Beans and Vegetables",AN02,7,"Haute terre du nord-central légumes, pommes de terre et haricots"
8,1,8,9.000000000000000,RW201400000009,RW,"2,014.000000000000000",9.000000000000000,RW,RW12,Kigali City,NULL,NULL,1.000000000000000,Kigali City,13.000000000000000,Kicukiro,CEN,U,-1.987734000000000,30.120384000000001,"9,999.000000000000000","1,400.000000000000000",WGS84,RW, ,Urban Area,UB01,0,Zone Urbaine
9,1,9,10.000000000000000,RW201400000010,RW,"2,014.000000000000000",10.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,51.000000000000000,Rwamagana,CEN,U,-1.961751000000000,30.445644999999999,"9,999.000000000000000","1,465.000000000000000",WGS84,RW,RW10,Southeastern Plateau Banana,AG08,10,Zone bananière du plateau du sud-est
10,1,10,11.000000000000000,RW201400000011,RW,"2,014.000000000000000",11.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,54.000000000000000,Kayonza,CEN,R,-1.917327000000000,30.489359000000000,"9,999.000000000000000","1,543.000000000000000",WGS84,RW,RW10,Southeastern Plateau Banana,AG08,10,Zone bananière du plateau du sud-est
11,1,11,12.000000000000000,RW201400000012,RW,"2,014.000000000000000",12.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,26.000000000000000,Ruhango,CEN,R,-2.208825000000000,29.764904000000001,"9,999.000000000000000","1,794.000000000000000",WGS84,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
12,1,12,13.000000000000000,RW201400000013,RW,"2,014.000000000000000",13.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,31.000000000000000,Karongi,CEN,R,-2.264231000000000,29.424475999999999,"9,999.000000000000000","2,065.000000000000000",WGS84,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
13,1,13,14.000000000000000,RW201400000014,RW,"2,014.000000000000000",14.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,35.000000000000000,Ngororero,CEN,R,-2.051454000000000,29.597128000000001,"9,999.000000000000000","1,698.000000000000000",WGS84,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
14,1,14,15.000000000000000,RW201400000015,RW,"2,014.000000000000000",15.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,35.000000000000000,Ngororero,CEN,U,-1.844974000000000,29.628433999999999,"9,999.000000000000000","1,750.000000000000000",WGS84,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
15,1,15,16.000000000000000,RW201400000016,RW,"2,014.000000000000000",16.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,55.000000000000000,Kirehe,CEN,R,-2.104671000000000,30.771625000000000,"9,999.000000000000000","1,295.000000000000000",WGS84,RW,RW12,Eastern Semi-Arid Agropastoral,SH02,12,Zone semi-aride agropastorale de l’est
16,1,16,17.000000000000000,RW201400000017,RW,"2,014.000000000000000",17.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,26.000000000000000,Ruhango,CEN,R,-2.108708000000000,29.865991999999999,"9,999.000000000000000","1,558.000000000000000",WGS84,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
