var,varDescrip,Keep,renamedVar,notes
hhid,case identification,1,hhid,
hv001,cluster number,1,cluster_num,
hv002,household number,1,hh_num,
hv005,household sample weight (6 decimals),1,hh_weight,
hv006,month of interview,1,interview_month,
hv007,year of interview,1,interview_year,
hv008,date of interview (cmc),1,interview_cmc,interview in century-month code
hv010,number of eligible women in household,1,num_females15_49,# number of 'eligible' women: women 15-49 who slept in house previous night (irrespective of whetehr live or visit)
hv011,number of eligible men in household,1,num_males15_49,# number of 'eligible' men: men 15-49 who slept in house previous night (irrespective of whetehr live or visit)
hv012,number of de jure members,1,num_hh,
hv014,number of children 5 and under (de jure),1,num_under5,
hv016,day of interview,1,interview_day,
hv018,interviewer identification,1,interviewer_id,
hv022,sample strata for sampling errors,1,sample_strata,
hv024,province,1,province_id,
hv025,type of place of residence,1,urban,
hv028,household weight for male subsample (6 decimals),1,male_weight,
hv040,cluster altitude in meters,1,altitude,
hv201,source of drinking water,1,water_source,source of drinking water
hv205,type of toilet facility,1,toilet_type,type of toilet facility
hv206,has electricity,1,electricity,
hv207,has radio,1,radio,
hv208,has television,1,tv,
hv209,has refrigerator,1,fridge,
hv210,has bicycle,1,bike,
hv211,has motorcycle/scooter,1,motorcycle,
hv212,has car/truck,1,car,
hv213,main floor material,1,floor_material,
hv214,main wall material,1,wall_material,
hv215,main roof material,1,roof_material,
hv216,number of rooms used for sleeping,1,num_rooms,
hv217,relationship structure,1,adult_structure,
hv219,sex of head of household,1,sex_head,
hv220,age of head of household,1,age_head,
hv221,has telephone (land-line),1,telephone,
hv225,share toilet with other households,1,share_toilet,
hv226,type of cooking fuel,1,cooking_fuel,
hv227,has mosquito bed net for sleeping,1,mosquito_net,
hv228,children under 5 slept under mosquito bed net last night,1,use_mosquito_net,
hv237,anything done to water to make safe to drink,1,water_treat,anything done to treat water?
hv237a,water usually treated by: boil,1,water_treat_boil,usually treat water by boiling?
hv237b,water usually treated by: add bleach/chlorine,1,water_treat_bleach,usually treat water with bleach/chlorine?
hv237c,water usually treated by: strain through a cloth,1,water_treat_cloth,usually treat water by straining through cloth? 
hv237d,water usually treated by: use water filter,1,water_treat_filter, usually treat water with a filter?                             
hv237e,water usually treated by: solar disinfection,1,water_treat_solar,usually treat water by solar disinfection?
hv237f,water usually treated by: let it stand and settle,1,water_treat_settle,usually treat water by letting stand and settle? 
hv230a,place where household members wash their hands,1,handwashing_site,# type of handwashing site
hv230b,presence of water at hand washing place,1,handwashing_water,  # water observed at handwashing site?
hv232,items present: soap or detergent,1,has_soap,  # was soap/detergent observed?
sh106c,frequency of washing water containers in a week's time,1,container_wash,frequency of washing water containers
sh109aa,cleanliness of toilet facility - dry and clean,1,toilet_clean_dry,toilet dry and clean
sh109ab,cleanliness of toilet facility - with urine or excreta,1,toilet_clean_urine,toilet has urine and excreta
sh109ac,cleanliness of toilet facility - with flies,1,toilet_clean_flies, toilet has flies
hv270,wealth index,1,wealth_index,
hv000,country code and phase,,,
hv003,respondent's line number (answering household questionnaire),,,
hv004,ultimate area unit,,,
hv009,number of household members,,,
hv013,number of de facto members,,,
hv015,result of household interview,,,
hv017,number of visits,,,
hv019,keyer identification,,,
hv020,ever-married sample,,,
hv021,primary sampling unit,,,
hv023,stratification used in sample design,,,
hv027,household selected for male interview and adult hiv testing,,,
hv030,field supervisor,,,
hv031,field editor,,,
hv032,office editor,,,
hv035,number of eligible children for height and weight,1,num_kids,
hv041,total adults measured,,,
hv042,"household selected for anthropometry, anemia, malaria",,,
hv044,household selected for domestic violence,,,
hv204,time to get to water source (minutes),,,
hv218,line number of head of household,,,
hv232b,"items present: ash, mud, sand",,,
hv232y,items present: none,,,
hv234a,result of salt test for iodine,,,
hv235,location of source for water,,,
hv237x,water usually treated by: other,,,                                  
hv237z,water usually treated by: don't know,,,
hv238,number of households sharing toilet,,,
hv241,food cooked in the house/ separate building/ outdoors,,,
hv242,household has separate room used as kitchen,,,
hv243a,has mobile telephone,1,mobile,
hv243b,has watch,1,watch,
hv243c,has animal-drawn cart,1,cart,
hv243d,has boat with a motor,1,motorboat,
hv244,owns land usable for agriculture,1,ag_land,
hv245,hectares of agricultural land (1 decimal),,,
hv246,"owns livestock, herds or farm animals",,,
hv246a,owns cow  (traditional),,,
hv246b,owns cows (milk) / bulls,,,
hv246c,owns horses/ donkeys/ mules,,,
hv246d,owns goats,,,
hv246e,owns sheep,,,
hv246f,owns chickens,,,
hv246g,owns pigs,,,
hv246h,owns rabbits,,,
hv246i,owns milk cows,,,
