var,varDescrip,Keep,renamedVar,module,notes,
caseid,case identification ,1,caseid,kids,,
midx,index to birth history,1,midx,kids,,
v001,cluster number,1,cluster_num,kids,,
v002,household number,1,hh_num,kids,,
v008,date of interview (cmc),1,interview_date_cmc,women,,
v190,wealth index,1,wealth_index,household,,
b3,date of birth (cmc),1,dob_cmc,kids,,
b4,sex of child,1,sex,kids,,
b7,"age at death (months, imputed)",1,age_death,kids,,
hwidx,index to birth history,1,hwidx,kids,,
hw1,child's age in months,1,age_months,kids,,
hw2,child's weight in kilograms (1 decimal),1,weight_kg,kids,,
hw3,child's height in centimeters (1 decimal),1,height_cm,kids,,
hw4,height/age percentile,1,height_age_percentile,kids,,
hw5,height/age standard deviation,1,height_age_zscore,kids,,
hw7,weight/age percentile,1,weight_age_percentile,kids,,
hw8,weight/age standard deviation,1,weight_age_std,kids,,
hw10,weight/height percentile,1,weight_height_percentile,kids,,
hw11,weight/height standard deviation,1,weight_height_std,kids,,
v106,highest educational level,1,mother_ed_level,women,,0-no education     1- primary   2- secondary      3- higher 
v107,highest year of education,1,mother_ed_year,women,,in years
v411,"gave child tinned, powdered or fresh milk",1,child_milk,women,WDDS,
v414e,"gave child bread, noodles, other made from grains",1,child_cereals,women,WDDS,
v414f,"gave child potatoes, cassava, or other tubers",1,child_tubers,women,WDDS,
v414g,gave child eggs,1,child_eggs,women,WDDS,
v414h,"gave child meat (beef, pork, lamb, chicken, etc)",1,child_meat,women,WDDS,
v414i,"gave child pumpkin, carrots, squash (yellow or orange inside)",1,child_veg_yellow_orange,women,WDDS,
v414j,gave child any dark green leafy vegetables,1,child_veg_dark_green,women,WDDS,
v414k,"gave child mangoes, papayas, other vitamin a fruits",1,child_fruit_vit_a,women,WDDS,
v414l,gave child any other fruits,1,child_fruit_other,women,WDDS,
v414m,"gave child liver, heart, other organs",1,child_meat_organ,women,WDDS,
v414n,gave child fish or shellfish,1,child_fish,women,WDDS,
v414o,"gave child food made from beans, peas, lentils, nuts",1,child_legumes_nuts,women,WDDS,
v414p,"gave child cheese, yogurt, other milk products",1,child_milk_products,women,WDDS,
v414s,gave child other solid-semisolid food,1,child_other_food,women,,
b11,preceding birth interval (months),1,birth_interval_preceding,kids,,
bidx,birth column number,1,bidx,kids,,
bord,birth order number,1,birth_order,kids,,
m3i,assistance: community health mother and child,0,,kids,,
m3j,assistance: relatives,0,,kids,,
m3k,assistance: friends and neighbors,0,,kids,,
m3m,assistance: other,0,,kids,,
m3n,assistance: no one,0,,kids,,
m4,duration of breastfeeding,0,,kids,,
m5,months of breastfeeding,0,,kids,,
m6,duration of amenorrhea,0,,kids,,
m7,months of amenorrhea,0,,kids,,
m8,duration of abstinence,0,,kids,,
m9,months of abstinence,0,,kids,,
m10,wanted pregnancy when became pregnant,0,,kids,,
m11,desired time would have waited,0,,kids,,
m13,timing of 1st antenatal check (months),0,,kids,,
m14,number of antenatal visits during pregnancy,0,,kids,,
m15,place of delivery,0,,kids,,
b0,child is twin,,,kids,,
b1,month of birth,,,kids,,
b2,year of birth,,,kids,,
b5,child is alive,,,kids,,
b6,age at death,,,kids,,
b8,current age of child,,,kids,,
b9,child lives with whom,,,kids,,
b10,completeness of information,,,kids,,
b12,succeeding birth interval (months),,,kids,,
b13,flag for age at death,,,kids,,
b15,live birth between births,,,kids,,
b16,child's line number in household,,,kids,,
