"","var","varDescrip","module"
"1","mcaseid","case identification","men"
"2","mv000","country code and phase","men"
"3","mv001","cluster number","men"
"4","mv002","household number","men"
"5","mv003","respondent's line number","men"
"6","mv004","ultimate area unit","men"
"7","mv005","men's sample weight (6 decimals)","men"
"8","mv006","month of interview","men"
"9","mv007","year of interview","men"
"10","mv008","date of interview (cmc)","men"
"11","mv009","month of birth","men"
"12","mv010","year of birth","men"
"13","mv011","date of birth (cmc)","men"
"14","mv012","current age","men"
"15","mv013","age in 5-year groups","men"
"16","mv014","completeness of age information","men"
"17","mv015","result of interview","men"
"18","mv016","day of interview","men"
"19","mv021","primary sampling unit","men"
"20","mv022","sample strata for sampling errors","men"
"21","mv023","stratification used in sample design","men"
"22","mv024","province","men"
"23","mv025","type of place of residence","men"
"24","mv027","number of visits","men"
"25","mv028","interviewer identification","men"
"26","mv029","keyer identification","men"
"27","mv030","field supervisor","men"
"28","mv031","field editor","men"
"29","mv032","office editor","men"
"30","mv034_1","line number of wife/partner","men"
"31","mv034_2","line number of wife/partner","men"
"32","mv034_3","line number of wife/partner","men"
"33","mv034_4","line number of wife/partner","men"
"34","mv034_5","line number of wife/partner","men"
"35","mv034_6","line number of wife/partner","men"
"36","mv034_7","line number of wife/partner","men"
"37","mv034_8","line number of wife/partner","men"
"38","mv034b_1","age of wife/partner","men"
"39","mv034b_2","age of wife/partner","men"
"40","mv034b_3","age of wife/partner","men"
"41","mv034b_4","age of wife/partner","men"
"42","mv034b_5","age of wife/partner","men"
"43","mv034b_6","age of wife/partner","men"
"44","mv034b_7","age of wife/partner","men"
"45","mv034b_8","age of wife/partner","men"
"46","mv035","number of wives/partners","men"
"47","mv801","time interview started (hhmm - 24 hour clock)","men"
"48","mv802","time interview ended (hhmm - 24 hour clock)","men"
"49","mv803","length of interview in minutes","men"
"50","mv101","province","men"
"51","mv102","type of place of residence","men"
"52","mv106","educational level","men"
"53","mv107","highest year of education (at level in mv106)","men"
"54","mv130","religion","men"
"55","mv133","total number of years of education","men"
"56","mv135","usual resident or visitor","men"
"57","mv136","number of household members (total listed)","men"
"58","mv138","number of eligible men in household (de facto)","men"
"59","mv149","educational attainment","men"
"60","mv150","relationship to household head","men"
"61","mv151","sex of household head","men"
"62","mv152","age of household head","men"
"63","mv155","literacy","men"
"64","mv157","frequency of reading newspaper or magazine","men"
"65","mv158","frequency of listening to radio","men"
"66","mv159","frequency of watching television","men"
"67","mv167","times away from home in last 12 months","men"
"68","mv168","away for more than one month in last 12 months","men"
"69","mv190","wealth index","men"
"70","mv191","wealth index factor score (5 decimals)","men"
"71","mv201","total children ever born","men"
"72","mv202","sons at home","men"
"73","mv203","daughters at home","men"
"74","mv204","sons elsewhere","men"
"75","mv205","daughters elsewhere","men"
"76","mv206","sons who have died","men"
"77","mv207","daughters who have died","men"
"78","mv212","age of respondent at 1st birth","men"
"79","mv213","partner currently pregnant","men"
"80","mv217","knowledge of ovulatory cycle","men"
"81","mv218","number of living children","men"
"82","mv245","number of women fathered children with","men"
"83","mv247","age of most recent child","men"
"84","mv248","antenatal check-ups for the mother of most recent child","men"
"85","mv249","respondent present during check-ups for most recent child","men"
"86","mv250","place of birth of most recent child","men"
"87","mv252","amount a child should drink, when that child has diarrhea","men"
"88","mv301","knowledge of any contraceptive method","men"
"89","m304a_01","type of contraceptive method","men"
"90","m304a_02","type of contraceptive method","men"
"91","m304a_03","type of contraceptive method","men"
"92","m304a_04","type of contraceptive method","men"
"93","m304a_05","type of contraceptive method","men"
"94","m304a_06","type of contraceptive method","men"
"95","m304a_07","type of contraceptive method","men"
"96","m304a_08","type of contraceptive method","men"
"97","m304a_09","type of contraceptive method","men"
"98","m304a_10","type of contraceptive method","men"
"99","m304a_11","type of contraceptive method","men"
"100","m304a_12","type of contraceptive method","men"
"101","m304a_13","type of contraceptive method","men"
"102","m304a_14","type of contraceptive method","men"
"103","m304a_15","type of contraceptive method","men"
"104","m304a_16","type of contraceptive method","men"
"105","m304a_17","type of contraceptive method","men"
"106","m304a_18","type of contraceptive method","men"
"107","m304a_19","type of contraceptive method","men"
"108","m304a_20","type of contraceptive method","men"
"109","mv304_01","knows contraceptive method","men"
"110","mv304_02","knows contraceptive method","men"
"111","mv304_03","knows contraceptive method","men"
"112","mv304_04","knows contraceptive method","men"
"113","mv304_05","knows contraceptive method","men"
"114","mv304_06","knows contraceptive method","men"
"115","mv304_07","knows contraceptive method","men"
"116","mv304_08","knows contraceptive method","men"
"117","mv304_09","knows contraceptive method","men"
"118","mv304_10","knows contraceptive method","men"
"119","mv304_11","knows contraceptive method","men"
"120","mv304_12","knows contraceptive method","men"
"121","mv304_13","knows contraceptive method","men"
"122","mv304_14","knows contraceptive method","men"
"123","mv304_15","knows contraceptive method","men"
"124","mv304_16","knows contraceptive method","men"
"125","mv304_17","knows contraceptive method","men"
"126","mv304_18","knows contraceptive method","men"
"127","mv304_19","knows contraceptive method","men"
"128","mv304_20","knows contraceptive method","men"
"129","mv307_01","contraceptive method currently used","men"
"130","mv307_02","contraceptive method currently used","men"
"131","mv307_03","contraceptive method currently used","men"
"132","mv307_04","contraceptive method currently used","men"
"133","mv307_05","contraceptive method currently used","men"
"134","mv307_06","contraceptive method currently used","men"
"135","mv307_07","contraceptive method currently used","men"
"136","mv307_08","contraceptive method currently used","men"
"137","mv307_09","contraceptive method currently used","men"
"138","mv307_10","contraceptive method currently used","men"
"139","mv307_11","contraceptive method currently used","men"
"140","mv307_12","contraceptive method currently used","men"
"141","mv307_13","contraceptive method currently used","men"
"142","mv307_14","contraceptive method currently used","men"
"143","mv307_15","contraceptive method currently used","men"
"144","mv307_16","contraceptive method currently used","men"
"145","mv307_17","contraceptive method currently used","men"
"146","mv307_18","contraceptive method currently used","men"
"147","mv307_19","contraceptive method currently used","men"
"148","mv307_20","contraceptive method currently used","men"
"149","mv312","current contraceptive method","men"
"150","mv313","current contraceptive by method type","men"
"151","mv323a","brand of condom used","men"
"152","mv384a","on radio heard about family planning in the last few months","men"
"153","mv384b","on tv saw about family planning in the last few months","men"
"154","mv384c","in newspaper read about family planning in the last few months","men"
"155","mv395","discussed family planning with health worker in last few months","men"
"156","mv3b17","source of condoms","men"
"157","mv3b25a","contraception is woman's business, man should not worry","men"
"158","mv3b25b","women who use contraception become promiscuous","men"
"159","mv463a","smokes cigarettes","men"
"160","mv463b","smokes pipe","men"
"161","mv463c","uses chewing tobacco","men"
"162","mv463d","uses snuff","men"
"163","mv463x","smokes other","men"
"164","mv463z","smokes nothing","men"
"165","mv464","number of cigarettes in last 24 hours","men"
"166","mv474","heard of tuberculosis or tb","men"
"167","mv474a","tuberculosis spread by: air through coughing or sneezing","men"
"168","mv474b","tuberculosis spread by: sharing utensils","men"
"169","mv474c","tuberculosis spread by: touching a person with tb","men"
"170","mv474d","tuberculosis spread by: food","men"
"171","mv474e","tuberculosis spread by: sexual contact","men"
"172","mv474f","tuberculosis spread by: mosquito bites","men"
"173","mv474g","tuberculosis spread by: smoking","men"
"174","mv474x","tuberculosis spread by: other","men"
"175","mv474z","don't know how tuberculosis is spread","men"
"176","mv477","number of injections in last 12 months","men"
"177","mv478","number of injections administered by a health worker","men"
"178","mv480","syringe and needle from new, unopened package","men"
"179","mv483","respondent circumcised","men"
"180","mv483a","age at circumcision","men"
"181","mv483b","who performed the circumcision","men"
"182","mv483c","place where circumcision was done","men"
"183","mv501","current marital status","men"
"184","mv502","currently/formerly/never in union","men"
"185","mv503","number of unions","men"
"186","mv504","currently residing with wife/partner","men"
"187","mv505","number of wives/partners","men"
"188","mv507","month of first cohabitation","men"
"189","mv508","year of first cohabitation","men"
"190","mv509","date of first cohabitation (cmc)","men"
