"","var","varDescrip","module"
"1","hvidx","line number","roster"
"2","hv101","relationship to head","roster"
"3","hv102","usual resident","roster"
"4","hv103","slept last night","roster"
"5","hv104","sex of household member","roster"
"6","hv105","age of household members","roster"
"7","hv106","highest educational level attained","roster"
"8","hv107","highest year of education completed","roster"
"9","hv108","education completed in single years","roster"
"10","hv109","educational attainment","roster"
"11","hv111","mother alive","roster"
"12","hv112","mother's line number","roster"
"13","hv113","father alive","roster"
"14","hv114","father's line number","roster"
"15","hv115","current marital status","roster"
"16","hv116","currently, formerly, never married","roster"
"17","hv117","eligibility for female interview","roster"
"18","hv118","eligibility for male interview","roster"
"19","hv120","children eligibility for height/weight and hemoglobin","roster"
"20","hv121","member attended school during current school year","roster"
"21","hv122","educational level during current school year","roster"
"22","hv123","grade of education during current school year","roster"
"23","hv124","education in single years - current school year","roster"
"24","hv140","member has a birth certificate","roster"
"25","idxh4","index to household schedule","roster"
"26","sh03","relationship to head","roster"
"27","sh11","eligible children 0-5 years","roster"
"28","sh11a","eligible children 0-14 years","roster"
"29","sh17a","level of education attended 3 yrs or older","roster"
"30","sh17b","highest grade completed 3 yrs or older","roster"
"31","sh19a","level of education attending 3-24 yrs old","roster"
"32","sh19b","grade attending 3-24 yrs old","roster"
"33","sh21","covered by health insurance","roster"
"34","sh22","main type of health insurance","roster"
"35","sh23","currently smoke 7 yrs or older","roster"
"36","ha0","index to household schedule","roster"
"37","ha1","woman's age in years","roster"
"38","ha2","woman's weight in kilograms (1 decimal)","roster"
"39","ha3","woman's height in centimeters (1 decimal)","roster"
"40","ha4","height/age percentile","roster"
"41","ha5","height/age standard deviation","roster"
"42","ha6","height/age percent ref. median","roster"
"43","ha11","weight/height standard deviation (dhs)","roster"
"44","ha12","weight/height percent ref. median (dhs)","roster"
"45","ha12a","weight/height percent ref. median (fog)","roster"
"46","ha12b","weight/height percent ref. median (who)","roster"
"47","ha13","result of measurement - height/weight","roster"
"48","ha32","date of birth (cmc)","roster"
"49","ha33","completeness of ha32 information","roster"
