"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,189,"RWA","Rwanda",1,"Amajyaruguru",1,"Burera","RW.NO.BR",44,"44","District","District","",""
2,189,"RWA","Rwanda",1,"Amajyaruguru",2,"Gakenke","RW.NO.GK",42,"42","District","District","",""
3,189,"RWA","Rwanda",1,"Amajyaruguru",3,"Gicumbi","RW.NO.GC",45,"45","District","District","",""
4,189,"RWA","Rwanda",1,"Amajyaruguru",4,"Musanze","RW.NO.MS",43,"43","District","District","",""
5,189,"RWA","Rwanda",1,"Amajyaruguru",5,"Rulindo","RW.NO.RL",41,"41","District","District","",""
6,189,"RWA","Rwanda",2,"Amajyepfo",6,"Gisagara","RW.SU.GG",22,"22","District","District","",""
7,189,"RWA","Rwanda",2,"Amajyepfo",7,"Huye","RW.SU.HU",24,"24","District","District","",""
8,189,"RWA","Rwanda",2,"Amajyepfo",8,"Kamonyi","RW.SU.KM",28,"28","District","District","",""
9,189,"RWA","Rwanda",2,"Amajyepfo",9,"Muhanga","RW.SU.MH",27,"27","District","District","",""
10,189,"RWA","Rwanda",2,"Amajyepfo",10,"Nyamagabe","RW.SU.NY",25,"25","District","District","",""
11,189,"RWA","Rwanda",2,"Amajyepfo",11,"Nyanza","RW.SU.NZ",21,"21","District","District","",""
12,189,"RWA","Rwanda",2,"Amajyepfo",12,"Nyaruguru","RW.SU.NU",23,"23","District","District","",""
13,189,"RWA","Rwanda",2,"Amajyepfo",13,"Ruhango","RW.SU.RH",26,"26","District","District","",""
14,189,"RWA","Rwanda",3,"Iburasirazuba",14,"Bugesera","RW.ES.BG",57,"57","District","District","",""
15,189,"RWA","Rwanda",3,"Iburasirazuba",15,"Gatsibo","RW.ES.GT",53,"53","District","District","",""
16,189,"RWA","Rwanda",3,"Iburasirazuba",16,"Kayonza","RW.ES.KZ",54,"54","District","District","",""
17,189,"RWA","Rwanda",3,"Iburasirazuba",17,"Kirehe","RW.ES.KH",55,"55","District","District","",""
18,189,"RWA","Rwanda",3,"Iburasirazuba",18,"Ngoma","RW.ES.NM",56,"56","District","District","",""
19,189,"RWA","Rwanda",3,"Iburasirazuba",19,"Nyagatare","RW.ES.NT",52,"52","District","District","",""
20,189,"RWA","Rwanda",3,"Iburasirazuba",20,"Rwamagana","RW.ES.RM",51,"51","District","District","",""
21,189,"RWA","Rwanda",4,"Iburengerazuba",21,"Karongi","RW.OU.KG",31,"31","District","District","",""
22,189,"RWA","Rwanda",4,"Iburengerazuba",22,"Ngororero","RW.OU.NR",35,"35","District","District","",""
23,189,"RWA","Rwanda",4,"Iburengerazuba",23,"Nyabihu","RW.OU.NB",34,"34","District","District","",""
24,189,"RWA","Rwanda",4,"Iburengerazuba",24,"Nyamasheke","RW.OU.NS",37,"37","District","District","",""
25,189,"RWA","Rwanda",4,"Iburengerazuba",25,"Rubavu","RW.OU.RB",33,"33","District","District","",""
26,189,"RWA","Rwanda",4,"Iburengerazuba",26,"Rusizi","RW.OU.RS",36,"36","District","District","",""
27,189,"RWA","Rwanda",4,"Iburengerazuba",27,"Rutsiro","RW.OU.RT",32,"32","District","District","",""
28,189,"RWA","Rwanda",5,"Umujyi wa Kigali",28,"Gasabo","RW.KV.GB",12,"12","District","District","",""
29,189,"RWA","Rwanda",5,"Umujyi wa Kigali",29,"Kicukiro","RW.KV.KK",13,"13","District","District","",""
30,189,"RWA","Rwanda",5,"Umujyi wa Kigali",30,"Nyarugenge","RW.KV.NG",11,"11","District","District","",""
