"","var","varDescrip","module"
"1","hhid","case identification","hh"
"2","hv000","country code and phase","hh"
"3","hv001","cluster number","hh"
"4","hv002","household number","hh"
"5","hv003","respondent's line number (answering household questionnaire)","hh"
"6","hv004","ultimate area unit","hh"
"7","hv005","household sample weight (6 decimals)","hh"
"8","hv006","month of interview","hh"
"9","hv007","year of interview","hh"
"10","hv008","date of interview (cmc)","hh"
"11","hv009","number of household members","hh"
"12","hv010","number of eligible women in household","hh"
"13","hv011","number of eligible men in household","hh"
"14","hv012","number of de jure members","hh"
"15","hv013","number of de facto members","hh"
"16","hv014","number of children 5 and under (de jure)","hh"
"17","hv015","result of household interview","hh"
"18","hv016","day of interview","hh"
"19","hv017","number of visits","hh"
"20","hv018","interviewer identification","hh"
"21","hv019","keyer identification","hh"
"22","hv020","ever-married sample","hh"
"23","hv021","primary sampling unit","hh"
"24","hv022","sample strata for sampling errors","hh"
"25","hv023","stratification used in sample design","hh"
"26","hv024","province","hh"
"27","hv025","type of place of residence","hh"
"28","hv027","household selected for male interview and adult hiv testing","hh"
"29","hv028","household weight for male subsample (6 decimals)","hh"
"30","hv030","field supervisor","hh"
"31","hv031","field editor","hh"
"32","hv032","office editor","hh"
"33","hv035","number of eligible children for height and weight","hh"
"34","hv040","cluster altitude in meters","hh"
"35","hv041","total adults measured","hh"
"36","hv042","household selected for anthropometry, anemia, malaria","hh"
"37","hv044","household selected for domestic violence","hh"
"38","hv201","source of drinking water","hh"
"39","hv204","time to get to water source (minutes)","hh"
"40","hv205","type of toilet facility","hh"
"41","hv206","has electricity","hh"
"42","hv207","has radio","hh"
"43","hv208","has television","hh"
"44","hv209","has refrigerator","hh"
"45","hv210","has bicycle","hh"
"46","hv211","has motorcycle/scooter","hh"
"47","hv212","has car/truck","hh"
"48","hv213","main floor material","hh"
"49","hv214","main wall material","hh"
"50","hv215","main roof material","hh"
"51","hv216","number of rooms used for sleeping","hh"
"52","hv217","relationship structure","hh"
"53","hv218","line number of head of household","hh"
"54","hv219","sex of head of household","hh"
"55","hv220","age of head of household","hh"
"56","hv221","has telephone (land-line)","hh"
"57","hv225","share toilet with other households","hh"
"58","hv226","type of cooking fuel","hh"
"59","hv227","has mosquito bed net for sleeping","hh"
"60","hv228","children under 5 slept under mosquito bed net last night","hh"
"61","hv230a","place where household members wash their hands","hh"
"62","hv230b","presence of water at hand washing place","hh"
"63","hv232","items present: soap or detergent","hh"
"64","hv232b","items present: ash, mud, sand","hh"
"65","hv232y","items present: none","hh"
"66","hv234a","result of salt test for iodine","hh"
"67","hv235","location of source for water","hh"
"68","hv237","anything done to water to make safe to drink","hh"
"69","hv237a","water usually treated by: boil","hh"
"70","hv237b","water usually treated by: add bleach/chlorine","hh"
"71","hv237c","water usually treated by: strain through a cloth","hh"
"72","hv237d","water usually treated by: use water filter","hh"
"73","hv237e","water usually treated by: solar disinfection","hh"
"74","hv237f","water usually treated by: let it stand and settle","hh"
"75","hv237x","water usually treated by: other","hh"
"76","hv237z","water usually treated by: don't know","hh"
"77","hv238","number of households sharing toilet","hh"
"78","hv241","food cooked in the house/ separate building/ outdoors","hh"
"79","hv242","household has separate room used as kitchen","hh"
"80","hv243a","has mobile telephone","hh"
"81","hv243b","has watch","hh"
"82","hv243c","has animal-drawn cart","hh"
"83","hv243d","has boat with a motor","hh"
"84","hv244","owns land usable for agriculture","hh"
"85","hv245","hectares of agricultural land (1 decimal)","hh"
"86","hv246","owns livestock, herds or farm animals","hh"
"87","hv246a","owns cow  (traditional)","hh"
"88","hv246b","owns cows (milk) / bulls","hh"
"89","hv246c","owns horses/ donkeys/ mules","hh"
"90","hv246d","owns goats","hh"
"91","hv246e","owns sheep","hh"
"92","hv246f","owns chickens","hh"
"93","hv246g","owns pigs","hh"
"94","hv246h","owns rabbits","hh"
"95","hv246i","owns milk cows","hh"
"96","hv246j","owns bulls","hh"
"97","hv247","has bank account","hh"
"98","hv252","frequency household members smoke inside the house","hh"
"99","hv270","wealth index","hh"
"100","hv271","wealth index factor score (5 decimals)","hh"
"101","hml1","number of mosquito bed nets","hh"
"102","hml1a","number of mosquito bed nets with specific information","hh"
"103","hml2","number of children under mosquito bed net previous night","hh"
"104","shdistrict","district","hh"
"105","sheligchiv","household selected for hiv testing for children","hh"
"106","sheligdvw","household selected for domestic violence for women","hh"
"107","sheligdvm","household selected for domestic violence for men","hh"
"108","sh104a","distance from the house","hh"
"109","sh106a","water is stored","hh"
"110","sh106b","how is water stored","hh"
"111","sh106c","frequency of washing water containers in a week's time","hh"
"112","sh109aa","cleanliness of toilet facility - dry and clean","hh"
"113","sh109ab","cleanliness of toilet facility - with urine or excreta","hh"
"114","sh109ac","cleanliness of toilet facility - with flies","hh"
"115","sh110g","computer","hh"
"116","sh118f","boat without a motor","hh"
"117","sh123e","plan to get insurance","hh"
"118","hvidx_01","line number","hh"
"119","hvidx_02","line number","hh"
"120","hvidx_03","line number","hh"
"121","hvidx_04","line number","hh"
"122","hvidx_05","line number","hh"
"123","hvidx_06","line number","hh"
"124","hvidx_07","line number","hh"
"125","hvidx_08","line number","hh"
"126","hvidx_09","line number","hh"
"127","hvidx_10","line number","hh"
"128","hvidx_11","line number","hh"
"129","hvidx_12","line number","hh"
"130","hvidx_13","line number","hh"
"131","hvidx_14","line number","hh"
"132","hvidx_15","line number","hh"
"133","hvidx_16","line number","hh"
"134","hvidx_17","line number","hh"
"135","hvidx_18","line number","hh"
"136","hvidx_19","line number","hh"
"137","hvidx_20","line number","hh"
"138","hvidx_21","line number","hh"
"139","hvidx_22","line number","hh"
"140","hv101_01","relationship to head","hh"
"141","hv101_02","relationship to head","hh"
"142","hv101_03","relationship to head","hh"
"143","hv101_04","relationship to head","hh"
"144","hv101_05","relationship to head","hh"
"145","hv101_06","relationship to head","hh"
"146","hv101_07","relationship to head","hh"
"147","hv101_08","relationship to head","hh"
"148","hv101_09","relationship to head","hh"
"149","hv101_10","relationship to head","hh"
"150","hv101_11","relationship to head","hh"
"151","hv101_12","relationship to head","hh"
"152","hv101_13","relationship to head","hh"
"153","hv101_14","relationship to head","hh"
"154","hv101_15","relationship to head","hh"
"155","hv101_16","relationship to head","hh"
"156","hv101_17","relationship to head","hh"
"157","hv101_18","relationship to head","hh"
"158","hv101_19","relationship to head","hh"
"159","hv101_20","relationship to head","hh"
"160","hv101_21","relationship to head","hh"
"161","hv101_22","relationship to head","hh"
"162","hv102_01","usual resident","hh"
"163","hv102_02","usual resident","hh"
"164","hv102_03","usual resident","hh"
"165","hv102_04","usual resident","hh"
"166","hv102_05","usual resident","hh"
"167","hv102_06","usual resident","hh"
"168","hv102_07","usual resident","hh"
"169","hv102_08","usual resident","hh"
"170","hv102_09","usual resident","hh"
"171","hv102_10","usual resident","hh"
"172","hv102_11","usual resident","hh"
"173","hv102_12","usual resident","hh"
"174","hv102_13","usual resident","hh"
"175","hv102_14","usual resident","hh"
"176","hv102_15","usual resident","hh"
"177","hv102_16","usual resident","hh"
"178","hv102_17","usual resident","hh"
"179","hv102_18","usual resident","hh"
"180","hv102_19","usual resident","hh"
"181","hv102_20","usual resident","hh"
"182","hv102_21","usual resident","hh"
"183","hv102_22","usual resident","hh"
"184","hv103_01","slept last night","hh"
"185","hv103_02","slept last night","hh"
"186","hv103_03","slept last night","hh"
"187","hv103_04","slept last night","hh"
"188","hv103_05","slept last night","hh"
"189","hv103_06","slept last night","hh"
"190","hv103_07","slept last night","hh"
"191","hv103_08","slept last night","hh"
"192","hv103_09","slept last night","hh"
"193","hv103_10","slept last night","hh"
"194","hv103_11","slept last night","hh"
"195","hv103_12","slept last night","hh"
"196","hv103_13","slept last night","hh"
"197","hv103_14","slept last night","hh"
"198","hv103_15","slept last night","hh"
"199","hv103_16","slept last night","hh"
"200","hv103_17","slept last night","hh"
"201","hv103_18","slept last night","hh"
"202","hv103_19","slept last night","hh"
"203","hv103_20","slept last night","hh"
"204","hv103_21","slept last night","hh"
"205","hv103_22","slept last night","hh"
"206","hv104_01","sex of household member","hh"
"207","hv104_02","sex of household member","hh"
"208","hv104_03","sex of household member","hh"
"209","hv104_04","sex of household member","hh"
"210","hv104_05","sex of household member","hh"
"211","hv104_06","sex of household member","hh"
"212","hv104_07","sex of household member","hh"
"213","hv104_08","sex of household member","hh"
"214","hv104_09","sex of household member","hh"
"215","hv104_10","sex of household member","hh"
"216","hv104_11","sex of household member","hh"
"217","hv104_12","sex of household member","hh"
"218","hv104_13","sex of household member","hh"
"219","hv104_14","sex of household member","hh"
"220","hv104_15","sex of household member","hh"
"221","hv104_16","sex of household member","hh"
"222","hv104_17","sex of household member","hh"
"223","hv104_18","sex of household member","hh"
"224","hv104_19","sex of household member","hh"
"225","hv104_20","sex of household member","hh"
"226","hv104_21","sex of household member","hh"
"227","hv104_22","sex of household member","hh"
"228","hv105_01","age of household members","hh"
"229","hv105_02","age of household members","hh"
"230","hv105_03","age of household members","hh"
"231","hv105_04","age of household members","hh"
"232","hv105_05","age of household members","hh"
"233","hv105_06","age of household members","hh"
"234","hv105_07","age of household members","hh"
"235","hv105_08","age of household members","hh"
"236","hv105_09","age of household members","hh"
"237","hv105_10","age of household members","hh"
"238","hv105_11","age of household members","hh"
"239","hv105_12","age of household members","hh"
"240","hv105_13","age of household members","hh"
"241","hv105_14","age of household members","hh"
"242","hv105_15","age of household members","hh"
"243","hv105_16","age of household members","hh"
"244","hv105_17","age of household members","hh"
"245","hv105_18","age of household members","hh"
"246","hv105_19","age of household members","hh"
"247","hv105_20","age of household members","hh"
"248","hv105_21","age of household members","hh"
"249","hv105_22","age of household members","hh"
"250","hv106_01","highest educational level attained","hh"
"251","hv106_02","highest educational level attained","hh"
"252","hv106_03","highest educational level attained","hh"
"253","hv106_04","highest educational level attained","hh"
"254","hv106_05","highest educational level attained","hh"
"255","hv106_06","highest educational level attained","hh"
"256","hv106_07","highest educational level attained","hh"
"257","hv106_08","highest educational level attained","hh"
"258","hv106_09","highest educational level attained","hh"
"259","hv106_10","highest educational level attained","hh"
"260","hv106_11","highest educational level attained","hh"
"261","hv106_12","highest educational level attained","hh"
"262","hv106_13","highest educational level attained","hh"
"263","hv106_14","highest educational level attained","hh"
"264","hv106_15","highest educational level attained","hh"
"265","hv106_16","highest educational level attained","hh"
"266","hv106_17","highest educational level attained","hh"
"267","hv106_18","highest educational level attained","hh"
"268","hv106_19","highest educational level attained","hh"
"269","hv106_20","highest educational level attained","hh"
"270","hv106_21","highest educational level attained","hh"
"271","hv106_22","highest educational level attained","hh"
"272","hv107_01","highest year of education completed","hh"
"273","hv107_02","highest year of education completed","hh"
"274","hv107_03","highest year of education completed","hh"
"275","hv107_04","highest year of education completed","hh"
"276","hv107_05","highest year of education completed","hh"
"277","hv107_06","highest year of education completed","hh"
"278","hv107_07","highest year of education completed","hh"
"279","hv107_08","highest year of education completed","hh"
"280","hv107_09","highest year of education completed","hh"
"281","hv107_10","highest year of education completed","hh"
"282","hv107_11","highest year of education completed","hh"
"283","hv107_12","highest year of education completed","hh"
"284","hv107_13","highest year of education completed","hh"
"285","hv107_14","highest year of education completed","hh"
"286","hv107_15","highest year of education completed","hh"
"287","hv107_16","highest year of education completed","hh"
"288","hv107_17","highest year of education completed","hh"
"289","hv107_18","highest year of education completed","hh"
"290","hv107_19","highest year of education completed","hh"
"291","hv107_20","highest year of education completed","hh"
"292","hv107_21","highest year of education completed","hh"
"293","hv107_22","highest year of education completed","hh"
"294","hv108_01","education completed in single years","hh"
"295","hv108_02","education completed in single years","hh"
"296","hv108_03","education completed in single years","hh"
"297","hv108_04","education completed in single years","hh"
"298","hv108_05","education completed in single years","hh"
"299","hv108_06","education completed in single years","hh"
"300","hv108_07","education completed in single years","hh"
"301","hv108_08","education completed in single years","hh"
"302","hv108_09","education completed in single years","hh"
"303","hv108_10","education completed in single years","hh"
"304","hv108_11","education completed in single years","hh"
"305","hv108_12","education completed in single years","hh"
"306","hv108_13","education completed in single years","hh"
"307","hv108_14","education completed in single years","hh"
"308","hv108_15","education completed in single years","hh"
"309","hv108_16","education completed in single years","hh"
"310","hv108_17","education completed in single years","hh"
"311","hv108_18","education completed in single years","hh"
"312","hv108_19","education completed in single years","hh"
