"","var","varDescrip","module"
"1","caseid","case identification","women"
"2","v000","country code and phase","women"
"3","v001","cluster number","women"
"4","v002","household number","women"
"5","v003","respondent's line number","women"
"6","v004","ultimate area unit","women"
"7","v005","women's individual sample weight (6 decimals)","women"
"8","v006","month of interview","women"
"9","v007","year of interview","women"
"10","v008","date of interview (cmc)","women"
"11","v009","respondent's month of birth","women"
"12","v010","respondent's year of birth","women"
"13","v011","date of birth (cmc)","women"
"14","v012","respondent's current age","women"
"15","v013","age in 5-year groups","women"
"16","v014","completeness of age information","women"
"17","v015","result of individual interview","women"
"18","v016","day of interview","women"
"19","v017","cmc start of calendar","women"
"20","v018","row of month of interview","women"
"21","v019","length of calendar","women"
"22","v019a","number of calendar columns","women"
"23","v020","ever-married sample","women"
"24","v021","primary sampling unit","women"
"25","v022","sample strata for sampling errors","women"
"26","v023","stratification used in sample design","women"
"27","v024","province","women"
"28","v025","type of place of residence","women"
"29","v027","number of visits","women"
"30","v028","interviewer identification","women"
"31","v029","keyer identification","women"
"32","v030","field supervisor","women"
"33","v031","field editor","women"
"34","v032","office editor","women"
"35","v034","line number of husband","women"
"36","v040","cluster altitude in meters","women"
"37","v042","selected for anthropometry, anemia, malaria","women"
"38","v044","selected for female domestic violence","women"
"39","v101","province","women"
"40","v102","type of place of residence","women"
"41","v106","highest educational level","women"
"42","v107","highest year of education","women"
"43","v113","source of drinking water","women"
"44","v115","time to get to water source","women"
"45","v116","type of toilet facility","women"
"46","v119","household has: electricity","women"
"47","v120","household has: radio","women"
"48","v121","household has: television","women"
"49","v122","household has: refrigerator","women"
"50","v123","household has: bicycle","women"
"51","v124","household has: motorcycle/scooter","women"
"52","v125","household has: car/truck","women"
"53","v127","main floor material","women"
"54","v128","main wall material","women"
"55","v129","main roof material","women"
"56","v130","religion","women"
"57","v133","education in single years","women"
"58","v135","usual resident or visitor","women"
"59","v136","number of household members (listed)","women"
"60","v137","number of children 5 and under in household (de jure)","women"
"61","v138","number of eligible women in household (de facto)","women"
"62","v139","de jure region of residence","women"
"63","v140","de jure type of place of residence","women"
"64","v149","educational attainment","women"
"65","v150","relationship to household head","women"
"66","v151","sex of household head","women"
"67","v152","age of household head","women"
"68","v153","household has: telephone (land-line)","women"
"69","awfactt","all woman factor - total","women"
"70","awfactu","all woman factor - urban/rural","women"
"71","awfactr","all woman factor - regional","women"
"72","awfacte","all woman factor - educational","women"
"73","awfactw","all woman factor - wealth index","women"
"74","v155","literacy","women"
"75","v157","frequency of reading newspaper or magazine","women"
"76","v158","frequency of listening to radio","women"
"77","v159","frequency of watching television","women"
"78","v160","toilet facilities shared with other households","women"
"79","v161","type of cooking fuel","women"
"80","v167","number of trips in last 12 months","women"
"81","v168","away for more than one month in last 12 months","women"
"82","v190","wealth index","women"
"83","v191","wealth index factor score (5 decimals)","women"
"84","ml101","type of mosquito bed net(s) slept under last night","women"
"85","bidx_01","birth column number","women"
"86","bidx_02","birth column number","women"
"87","bidx_03","birth column number","women"
"88","bidx_04","birth column number","women"
"89","bidx_05","birth column number","women"
"90","bidx_06","birth column number","women"
"91","bidx_07","birth column number","women"
"92","bidx_08","birth column number","women"
"93","bidx_09","birth column number","women"
"94","bidx_10","birth column number","women"
"95","bidx_11","birth column number","women"
"96","bidx_12","birth column number","women"
"97","bidx_13","birth column number","women"
"98","bidx_14","birth column number","women"
"99","bidx_15","birth column number","women"
"100","bidx_16","birth column number","women"
"101","bidx_17","birth column number","women"
"102","bidx_18","birth column number","women"
"103","bidx_19","birth column number","women"
"104","bidx_20","birth column number","women"
"105","bord_01","birth order number","women"
"106","bord_02","birth order number","women"
"107","bord_03","birth order number","women"
"108","bord_04","birth order number","women"
"109","bord_05","birth order number","women"
"110","bord_06","birth order number","women"
"111","bord_07","birth order number","women"
"112","bord_08","birth order number","women"
"113","bord_09","birth order number","women"
"114","bord_10","birth order number","women"
"115","bord_11","birth order number","women"
"116","bord_12","birth order number","women"
"117","bord_13","birth order number","women"
"118","bord_14","birth order number","women"
"119","bord_15","birth order number","women"
"120","bord_16","birth order number","women"
"121","bord_17","birth order number","women"
"122","bord_18","birth order number","women"
"123","bord_19","birth order number","women"
"124","bord_20","birth order number","women"
"125","b0_01","child is twin","women"
"126","b0_02","child is twin","women"
"127","b0_03","child is twin","women"
"128","b0_04","child is twin","women"
"129","b0_05","child is twin","women"
"130","b0_06","child is twin","women"
"131","b0_07","child is twin","women"
"132","b0_08","child is twin","women"
"133","b0_09","child is twin","women"
"134","b0_10","child is twin","women"
"135","b0_11","child is twin","women"
"136","b0_12","child is twin","women"
"137","b0_13","child is twin","women"
"138","b0_14","child is twin","women"
"139","b0_15","child is twin","women"
"140","b0_16","child is twin","women"
"141","b0_17","child is twin","women"
"142","b0_18","child is twin","women"
"143","b0_19","child is twin","women"
"144","b0_20","child is twin","women"
"145","b1_01","month of birth","women"
"146","b1_02","month of birth","women"
"147","b1_03","month of birth","women"
"148","b1_04","month of birth","women"
"149","b1_05","month of birth","women"
"150","b1_06","month of birth","women"
"151","b1_07","month of birth","women"
"152","b1_08","month of birth","women"
"153","b1_09","month of birth","women"
"154","b1_10","month of birth","women"
"155","b1_11","month of birth","women"
"156","b1_12","month of birth","women"
"157","b1_13","month of birth","women"
"158","b1_14","month of birth","women"
"159","b1_15","month of birth","women"
"160","b1_16","month of birth","women"
"161","b1_17","month of birth","women"
"162","b1_18","month of birth","women"
"163","b1_19","month of birth","women"
"164","b1_20","month of birth","women"
"165","b2_01","year of birth","women"
"166","b2_02","year of birth","women"
"167","b2_03","year of birth","women"
"168","b2_04","year of birth","women"
"169","b2_05","year of birth","women"
"170","b2_06","year of birth","women"
"171","b2_07","year of birth","women"
"172","b2_08","year of birth","women"
"173","b2_09","year of birth","women"
"174","b2_10","year of birth","women"
"175","b2_11","year of birth","women"
"176","b2_12","year of birth","women"
"177","b2_13","year of birth","women"
"178","b2_14","year of birth","women"
"179","b2_15","year of birth","women"
"180","b2_16","year of birth","women"
"181","b2_17","year of birth","women"
"182","b2_18","year of birth","women"
"183","b2_19","year of birth","women"
"184","b2_20","year of birth","women"
"185","b3_01","date of birth (cmc)","women"
"186","b3_02","date of birth (cmc)","women"
"187","b3_03","date of birth (cmc)","women"
"188","b3_04","date of birth (cmc)","women"
"189","b3_05","date of birth (cmc)","women"
"190","b3_06","date of birth (cmc)","women"
"191","b3_07","date of birth (cmc)","women"
"192","b3_08","date of birth (cmc)","women"
"193","b3_09","date of birth (cmc)","women"
"194","b3_10","date of birth (cmc)","women"
"195","b3_11","date of birth (cmc)","women"
"196","b3_12","date of birth (cmc)","women"
"197","b3_13","date of birth (cmc)","women"
"198","b3_14","date of birth (cmc)","women"
"199","b3_15","date of birth (cmc)","women"
"200","b3_16","date of birth (cmc)","women"
"201","b3_17","date of birth (cmc)","women"
"202","b3_18","date of birth (cmc)","women"
"203","b3_19","date of birth (cmc)","women"
"204","b3_20","date of birth (cmc)","women"
"205","b4_01","sex of child","women"
"206","b4_02","sex of child","women"
"207","b4_03","sex of child","women"
"208","b4_04","sex of child","women"
"209","b4_05","sex of child","women"
"210","b4_06","sex of child","women"
